country1,country2,nbLinkTmp,frameworkContract
Germany,Slovenia,209,H2020
Italy,Slovenia,192,H2020
Luxembourg,Slovenia,23,H2020
Netherlands,Slovenia,139,H2020
Poland,Slovenia,85,H2020
Czech Republic,Slovenia,56,H2020
Ireland,Slovenia,66,H2020
Hungary,Slovenia,56,H2020
Greece,Slovenia,98,H2020
Bulgaria,Slovenia,43,H2020
Croatia,Slovenia,40,H2020
Cyprus,Slovenia,44,H2020
Estonia,Slovenia,36,H2020
Latvia,Slovenia,48,H2020
Lithuania,Slovenia,33,H2020
Portugal,Slovenia,92,H2020
Romania,Slovenia,73,H2020
Slovakia,Slovenia,45,H2020
Malta,Slovenia,21,H2020
Austria,United Kingdom,536,H2020
Belgium,United Kingdom,902,H2020
Denmark,United Kingdom,470,H2020
Finland,United Kingdom,411,H2020
France,United Kingdom,1331,H2020
Germany,United Kingdom,1736,H2020
Italy,United Kingdom,1374,H2020
Luxembourg,United Kingdom,100,H2020
Netherlands,United Kingdom,1085,H2020
Poland,United Kingdom,381,H2020
Slovenia,United Kingdom,193,H2020
Sweden,United Kingdom,652,H2020
Czech Republic,United Kingdom,273,H2020
Ireland,United Kingdom,371,H2020
Spain,United Kingdom,1328,H2020
Hungary,United Kingdom,228,H2020
Greece,United Kingdom,635,H2020
Bulgaria,United Kingdom,122,H2020
Croatia,United Kingdom,106,H2020
Cyprus,United Kingdom,122,H2020
Estonia,United Kingdom,105,H2020
Latvia,United Kingdom,85,H2020
Lithuania,United Kingdom,98,H2020
Portugal,United Kingdom,454,H2020
Romania,United Kingdom,198,H2020
Slovakia,United Kingdom,120,H2020
Malta,United Kingdom,45,H2020
Austria,Sweden,268,H2020
Belgium,Sweden,377,H2020
Denmark,Sweden,238,H2020
Finland,Sweden,219,H2020
France,Sweden,526,H2020
Germany,Sweden,703,H2020
Italy,Sweden,513,H2020
Luxembourg,Sweden,38,H2020
Netherlands,Sweden,452,H2020
Poland,Sweden,182,H2020
Slovenia,Sweden,96,H2020
Czech Republic,Sweden,146,H2020
Ireland,Sweden,159,H2020
Spain,Sweden,535,H2020
Hungary,Sweden,111,H2020
Greece,Sweden,227,H2020
Bulgaria,Sweden,56,H2020
Croatia,Sweden,57,H2020
Cyprus,Sweden,52,H2020
Estonia,Sweden,58,H2020
Latvia,Sweden,59,H2020
Lithuania,Sweden,59,H2020
Portugal,Sweden,175,H2020
Romania,Sweden,103,H2020
Slovakia,Sweden,71,H2020
Malta,Sweden,19,H2020
Austria,Spain,505,H2020
Belgium,Spain,798,H2020
Denmark,Spain,379,H2020
Finland,Spain,366,H2020
France,Spain,1157,H2020
Germany,Spain,1429,H2020
Italy,Spain,1253,H2020
Luxembourg,Spain,84,H2020
Netherlands,Spain,833,H2020
Poland,Spain,343,H2020
Slovenia,Spain,189,H2020
Czech Republic,Spain,262,H2020
Ireland,Spain,323,H2020
Hungary,Spain,217,H2020
Greece,Spain,573,H2020
Bulgaria,Spain,120,H2020
Croatia,Spain,117,H2020
Cyprus,Spain,118,H2020
Estonia,Spain,92,H2020
Latvia,Spain,78,H2020
Lithuania,Spain,84,H2020
Portugal,Spain,438,H2020
Romania,Spain,215,H2020
Slovakia,Spain,124,H2020
Malta,Spain,41,H2020
Austria,Czech Republic,164,H2020
Belgium,Czech Republic,204,H2020
Bulgaria,Czech Republic,57,H2020
Croatia,Czech Republic,49,H2020
Cyprus,Czech Republic,34,H2020
Austria,Ireland,129,H2020
Belgium,Ireland,231,H2020
Denmark,Ireland,149,H2020
Finland,Ireland,115,H2020
France,Ireland,277,H2020
Germany,Ireland,364,H2020
Czech Republic,Ireland,84,H2020
Hungary,Ireland,79,H2020
Greece,Ireland,162,H2020
Bulgaria,Ireland,41,H2020
Croatia,Ireland,60,H2020
Cyprus,Ireland,46,H2020
Estonia,Ireland,40,H2020
Austria,Hungary,129,H2020
Belgium,Hungary,169,H2020
Denmark,Hungary,92,H2020
Finland,Hungary,69,H2020
France,Hungary,190,H2020
Germany,Hungary,236,H2020
Czech Republic,Hungary,86,H2020
Greece,Hungary,114,H2020
Bulgaria,Hungary,52,H2020
Croatia,Hungary,48,H2020
Cyprus,Hungary,33,H2020
Estonia,Hungary,36,H2020
Austria,Greece,225,H2020
Belgium,Greece,348,H2020
Denmark,Greece,159,H2020
Finland,Greece,171,H2020
France,Greece,501,H2020
Germany,Greece,651,H2020
Czech Republic,Greece,121,H2020
Bulgaria,Greece,85,H2020
Croatia,Greece,67,H2020
Cyprus,Greece,115,H2020
Estonia,Greece,64,H2020
Austria,Bulgaria,75,H2020
Belgium,Bulgaria,101,H2020
Austria,Croatia,81,H2020
Belgium,Croatia,97,H2020
Bulgaria,Croatia,38,H2020
Austria,Cyprus,56,H2020
Belgium,Cyprus,71,H2020
Bulgaria,Cyprus,34,H2020
Croatia,Cyprus,28,H2020
Austria,Estonia,57,H2020
Belgium,Estonia,84,H2020
Denmark,Estonia,54,H2020
Czech Republic,Estonia,42,H2020
Bulgaria,Estonia,38,H2020
Croatia,Estonia,30,H2020
Cyprus,Estonia,31,H2020
Austria,Latvia,59,H2020
Belgium,Latvia,76,H2020
Denmark,Latvia,49,H2020
Finland,Latvia,45,H2020
France,Latvia,72,H2020
Germany,Latvia,92,H2020
Italy,Latvia,84,H2020
Czech Republic,Latvia,44,H2020
Ireland,Latvia,39,H2020
Hungary,Latvia,36,H2020
Greece,Latvia,53,H2020
Bulgaria,Latvia,35,H2020
Croatia,Latvia,28,H2020
Cyprus,Latvia,29,H2020
Estonia,Latvia,38,H2020
Austria,Lithuania,73,H2020
Belgium,Lithuania,82,H2020
Denmark,Lithuania,50,H2020
Finland,Lithuania,44,H2020
France,Lithuania,86,H2020
Germany,Lithuania,108,H2020
Italy,Lithuania,88,H2020
Czech Republic,Lithuania,54,H2020
Ireland,Lithuania,48,H2020
Hungary,Lithuania,47,H2020
Greece,Lithuania,54,H2020
Bulgaria,Lithuania,28,H2020
Croatia,Lithuania,39,H2020
Cyprus,Lithuania,24,H2020
Estonia,Lithuania,29,H2020
Latvia,Lithuania,33,H2020
Austria,Portugal,188,H2020
Belgium,Portugal,297,H2020
Denmark,Portugal,160,H2020
Finland,Portugal,159,H2020
France,Portugal,401,H2020
Germany,Portugal,455,H2020
Italy,Portugal,404,H2020
Luxembourg,Portugal,41,H2020
Netherlands,Portugal,290,H2020
Poland,Portugal,167,H2020
Czech Republic,Portugal,105,H2020
Ireland,Portugal,139,H2020
Hungary,Portugal,95,H2020
Greece,Portugal,243,H2020
Bulgaria,Portugal,65,H2020
Croatia,Portugal,68,H2020
Cyprus,Portugal,66,H2020
Estonia,Portugal,61,H2020
Latvia,Portugal,58,H2020
Lithuania,Portugal,49,H2020
Malta,Portugal,24,H2020
Austria,Romania,113,H2020
Belgium,Romania,163,H2020
Denmark,Romania,72,H2020
Finland,Romania,79,H2020
France,Romania,180,H2020
Germany,Romania,226,H2020
Italy,Romania,215,H2020
Luxembourg,Romania,24,H2020
Netherlands,Romania,156,H2020
Poland,Romania,115,H2020
Czech Republic,Romania,70,H2020
Ireland,Romania,86,H2020
Hungary,Romania,76,H2020
Greece,Romania,134,H2020
Bulgaria,Romania,66,H2020
Croatia,Romania,39,H2020
Cyprus,Romania,53,H2020
Estonia,Romania,50,H2020
Latvia,Romania,57,H2020
Lithuania,Romania,45,H2020
Portugal,Romania,126,H2020
Malta,Romania,25,H2020
Austria,Slovakia,103,H2020
Belgium,Slovakia,111,H2020
Denmark,Slovakia,57,H2020
Finland,Slovakia,49,H2020
France,Slovakia,121,H2020
Germany,Slovakia,129,H2020
Italy,Slovakia,134,H2020
Luxembourg,Slovakia,22,H2020
Netherlands,Slovakia,102,H2020
Poland,Slovakia,85,H2020
Czech Republic,Slovakia,85,H2020
Ireland,Slovakia,57,H2020
Hungary,Slovakia,60,H2020
Greece,Slovakia,70,H2020
Bulgaria,Slovakia,39,H2020
Croatia,Slovakia,46,H2020
Cyprus,Slovakia,30,H2020
Estonia,Slovakia,33,H2020
Latvia,Slovakia,40,H2020
Lithuania,Slovakia,51,H2020
Portugal,Slovakia,68,H2020
Romania,Slovakia,54,H2020
Malta,Slovakia,15,H2020
Austria,Malta,25,H2020
Belgium,Malta,30,H2020
Denmark,Malta,24,H2020
Finland,Malta,18,H2020
France,Malta,41,H2020
Germany,Malta,37,H2020
Italy,Malta,42,H2020
Luxembourg,Malta,13,H2020
Czech Republic,Malta,16,H2020
Ireland,Malta,21,H2020
Hungary,Malta,16,H2020
Greece,Malta,32,H2020
Bulgaria,Malta,19,H2020
Croatia,Malta,15,H2020
Cyprus,Malta,21,H2020
Estonia,Malta,17,H2020
Latvia,Malta,19,H2020
Lithuania,Malta,14,H2020
